Year,Event Title,Description
2026,Associate Architect (Qentelli),"Parents moved away along with brother, not cordial relations with them. Joined new company in april, got hike"
2025,Automation Lead (J2W),"I have to leave the job in may and was not working entire year, given lot of interviwes, I joined one place but then I have to leave in middle of month without money, financial issue came, no help from brother or parents. I also moved to cheaper rented house to save some money"
2024,"Automation Specialist (Movate), Automation Lead (J2W)","Started working on new technology and AI related stuff, got help from boss, moved J2W , got good hike, Worked from home. slowly moved away from sahaj-yoga and my guru, more person added to family as my brother started living together, moved to bigger rented house."
2023,Automation Specialist (Movate),"Worked in good projects, Worked from home"
2022,"Senior Consultant (Capgemini), Automation Specialist (Movate)","Left Capgemini due to extra work load and problem with female client, in september I changed my job and my second son ""Shashwat"" came into life. I worked from home, got hike in new company."
2021,"Site Quality & Reliability Engineer (Qubit AI), Senior Consultant (Capgemini)","Left startup Qubit AI and joined Capgemini.Problem with boss was there in Qubit AI too. I worked form home in this time, in both companies. my parents shifted at our place"
2020,Automation Test Lead (Cigniti Technologies),"Left Cigniti Technologies in January , again went against my boss; was jobless until May 2020. Received financial help from my wife as she was working. My first child, a son named Yuvaan, came into my life."
2019,"Senior Test Engineer (Cigniti Technologies), Automation Test Lead (Cigniti Technologies)","Got promoted, enjoyed married life."
2018,Senior Test Engineer (Cigniti Technologies),"Came back to Hyderabad in January from the UK. Got married in May, went to Kashmir for our honeymoon, and used all savings for the marriage and honeymoon."
2017,Senior Test Engineer (Cigniti Technologies),"In April 2017, moved to the UK for 9 months, where I travelled a lot to Paris, Switzerland, and a Sahaja Yoga center in Italy. Accumulated good savings."
2016,"Software Test Engineer (IBM), Senior Test Engineer (Cigniti Technologies)","Moved to Hyderabad, made new friends through Sahaja Yoga, and received a good salary hike."
2015,"Testing Engineer (ZERO-SUM LTD.), Software Test Engineer (IBM)","Changed my place of residence and made new friends through Sahaja Yoga. I finally quit my job and boss. From Oct 2015 to Mar 2016, worked a short span on a 3rd-party payroll for IBM. Since there was no work, I started giving a lot of interviews."
2014,Testing Engineer (ZERO-SUM LTD.),Travelled to many religious places with a friend.
2013,Testing Engineer (ZERO-SUM LTD.),"Underwent surgery for kidney stones. Continued my practice of the occult, named Sahaja Yoga, with my guru."
2012,Testing Engineer (ZERO-SUM LTD.),Slowly tried to get back on track. Shifted to a PG from my cousin's place. Received no appreciation from my boss.
2011,Moved to Bangalore for a job as a Testing Engineer (ZERO-SUM LTD.) and continued Sahaja Yoga,"Shifted to Bangalore to stay at my cousin brother's place and got a job in a Japan-based company. This year came with many colors. I was not in a very good condition. I suddenly felt I had left my cocoon behind and had to fly, but was unable to and wanted the warmth of that cocoon. I got chickenpox and was down economically, financially, and physically. Within months I revolted against my boss and it came back to me hitting hard."
2010,Completed MCA and continued Sahaja Yoga,"Completed my post-graduate degree. Now open to the world for jobs, though I had none in hand. Practiced the occult and meditation towards my guru."
2009,Continued MCA and Sahaja Yoga,"Continued my post-graduate degree. My friend circle changed, with more friends related to the occult and meditation. My living place also changed."
2008,Continued MCA and Sahaja Yoga,"Continued my post-graduate degree. My friend circle was grounded, and I passed my first semester with one back paper."
2007,"Completed graduation, got admission into MCA in Pune, and got into Sahaja Yoga","I finally completed my degree, which was delivered late to me due to a technical issue at the college. I received very low marks, though. I got into a college, but there was a lot of hassle since they wanted an extra donation for admission. Later, without giving extra money, I got in with help from friends and a higher authority figure. This was the start of a new era, and new friends were added. I found a guru, got into meditation, and moved away from my hometown to Pune. I left Gayatri Parivar and my old guru."
2006,Teaching & Preparing for MCA,Hopes went down. I started teaching children for pocket money and concentrated on my degree. I shifted my focus to MCA and started preparing for it.
2005,Friends Dispersed,"Friends dispersed. I stayed in my hometown, working on my B.Sc."
2004,IIT Entrance Preparation (Attempt 2),"Studied hard for the IIT entrance but failed. These failures pushed me to the edge of hard work and study, but all in vain. The only thing I gained was knowing I could work this hard."
2003,B.Sc. (Physics) & IIT Preparation (Attempt 1),Joined college to do a B.Sc. (Physics). Continued preparing for the IIT entrance after failing the first attempt.
2002,Passed Intermediate,Passed Intermediate with a low score. Kept preparing for the IIT entrance.
2001,Intermediate Studies (Science),"Pursued Intermediate studies in Science. Also started preparing for IIT and technical exams. Made new friends. Had my first crush on my neighbor, who was my age, though I never even got to talk to her."
March 2000,Completed Matriculation,Successfully completed my matriculation exams with good grades and received appreciation from all over. Joined a nearby college for Intermediate studies. My friend circle started increasing.
1999,9th Standard,Progressed to and completed the 9th standard. Took my studies seriously and worked very hard for success.
May 1997 – March 1998,8th Standard (Year 2),"Spent my second year in the 8th standard to successfully complete the class. Left video games and started working hard on my studies, slow and steady."
May 1996 – March 1997,8th Standard (Year 1),Entered the 8th standard and stayed back in the same class in March 1997.
1995,7th Standard,Attended and completed the 7th standard. Also got indulged in video games and was totally into it (Effect of Rahu).
1994,6th Standard,Attended and completed the 6th standard.
1993,5th Class (Year 2),Spent my second year in the 5th class at my new school. Also started reciting the Gayatri Mantra and following Gayatri Parivar.
March 1992,Joined New School & 5th Class (Year 1),Changed schools to join Keshav Saraswati Vidya Mandir and spent my first year in the 5th class. This time gave depth to my traditional Hindu religious views.
1991,4th Standard,Completed the 4th standard.
1990,3rd Standard,Completed the 3rd standard.
1989,2nd Standard,Completed the 2nd standard.
1988,Joined New School (1st Standard),Joined a new school to begin the 1st standard.
1986 – 1987,Kindergarten Years,Spent these two years completing my kindergarten education.
1985,Started Schooling,Began my very first early schooling at a local school.
1982,Birth,My life journey began.